book_id,title,author,genre,subgenre,rating,num_ratings,publication_year,description,isbn,page_count,language,cover_url,series,reading_level
11,"The Hunger Games","Suzanne Collins","Science Fiction","Dystopian",4.33,6800000,2008,"In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts","9780439023481",374,"English","https://images.gr-assets.com/books/1586722975l/2767052.jpg","The Hunger Games",2
12,"Brave New World","Aldous Huxley","Science Fiction","Dystopian",3.99,1600000,1932,"Aldous Huxley's profoundly important classic of world literature, Brave New World is a searching vision of an unequal, technologically-advanced future where humans are genetically bred, socially indoctrinated, and pharmaceutically anesthetized to passively uphold an authoritarian ruling order","9780060850524",268,"English","https://images.gr-assets.com/books/1575509280l/5129.jpg","",4
13,"The Book Thief","Markus Zusak","Historical Fiction","World War II",4.38,2000000,2005,"It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still","9780375842207",576,"English","https://images.gr-assets.com/books/1522157426l/19063.jpg","",3
14,"The Chronicles of Narnia","C.S. Lewis","Fantasy","Children's Fantasy",4.26,2200000,1950,"Journeys to the end of the world, fantastic creatures, and epic battles between good and evil","9780066238500",767,"English","https://images.gr-assets.com/books/1449868701l/11127.jpg","The Chronicles of Narnia",2
15,"Gone with the Wind","Margaret Mitchell","Historical Fiction","Romance",4.3,1100000,1936,"Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of poverty following the devastation of the Civil War","9781451635621",960,"English","https://images.gr-assets.com/books/1551144577l/18405.jpg","",4
16,"Jane Eyre","Charlotte Brontë","Fiction","Classic",4.13,1700000,1847,"Orphaned as a child, Jane has felt an outcast her whole young life","9780142437209",532,"English","https://images.gr-assets.com/books/1557343311l/10210.jpg","",3
17,"The Alchemist","Paulo Coelho","Fiction","Fantasy",3.87,2400000,1988,"Paulo Coelho's enchanting novel has inspired a devoted following around the world. This story, dazzling in its powerful simplicity and soul-stirring wisdom, is about an Andalusian shepherd boy named Santiago","9780062315007",197,"English","https://images.gr-assets.com/books/1483412266l/865.jpg","",3
18,"The Fault in Our Stars","John Green","Young Adult","Romance",4.15,3700000,2012,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis","9780142424179",313,"English","https://images.gr-assets.com/books/1360206420l/11870085.jpg","",2
19,"The Giver","Lois Lowry","Young Adult","Dystopian",4.13,1900000,1993,"The Giver, the 1994 Newbery Medal winner, has become one of the most influential novels of our time","9780544336261",240,"English","https://images.gr-assets.com/books/1342493368l/3636.jpg","The Giver Quartet",2
20,"Wuthering Heights","Emily Brontë","Fiction","Gothic",3.86,1400000,1847,"Wuthering Heights is a wild, passionate story of the intense and almost demonic love between Catherine Earnshaw and Heathcliff","9780141439556",416,"English","https://images.gr-assets.com/books/1388212715l/6185.jpg","",3
21,"The Da Vinci Code","Dan Brown","Mystery","Thriller",3.84,2000000,2003,"While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night","9780307474278",597,"English","https://images.gr-assets.com/books/1579621267l/968.jpg","Robert Langdon",3
22,"The Kite Runner","Khaled Hosseini","Historical Fiction","Cultural",4.31,2500000,2003,"The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father's servant","9781594631931",371,"English","https://images.gr-assets.com/books/1579036753l/77203.jpg","",3
23,"Fahrenheit 451","Ray Bradbury","Science Fiction","Dystopian",3.98,1700000,1953,"Guy Montag is a fireman. In his world, where television rules and literature is on the brink of extinction, firemen start fires rather than put them out","9781451673319",249,"English","https://images.gr-assets.com/books/1383718290l/13079982.jpg","",3
24,"Little Women","Louisa May Alcott","Fiction","Classic",4.13,1800000,1868,"Generations of readers young and old, male and female, have fallen in love with the March sisters of Louisa May Alcott's most popular and enduring novel, Little Women","9780147514011",449,"English","https://images.gr-assets.com/books/1562690475l/1934.jpg","Little Women",2
25,"The Picture of Dorian Gray","Oscar Wilde","Fiction","Gothic",4.11,1100000,1890,"Written in his distinctively dazzling manner, Oscar Wilde's story of a fashionable young man who sells his soul for eternal youth and beauty is the author's most popular work","9780141439570",272,"English","https://images.gr-assets.com/books/1546103428l/5297.jpg","",3
26,"The Handmaid's Tale","Margaret Atwood","Science Fiction","Dystopian",4.13,1500000,1985,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read","9780385490818",311,"English","https://images.gr-assets.com/books/1578028274l/38447.jpg","The Handmaid's Tale",4
27,"The Road","Cormac McCarthy","Fiction","Post-Apocalyptic",4.06,750000,2006,"A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind","9780307387899",287,"English","https://images.gr-assets.com/books/1439197219l/6288.jpg","",4
28,"The Name of the Wind","Patrick Rothfuss","Fantasy","Epic Fantasy",4.55,760000,2007,"Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen","9780756404741",662,"English","https://images.gr-assets.com/books/1270352123l/186074.jpg","The Kingkiller Chronicle",3
29,"A Game of Thrones","George R.R. Martin","Fantasy","Epic Fantasy",4.44,2100000,1996,"Summers span decades. Winter can last a lifetime. And the struggle for the Iron Throne has begun","9780553593716",835,"English","https://images.gr-assets.com/books/1562726234l/13496.jpg","A Song of Ice and Fire",4
30,"Moby-Dick","Herman Melville","Fiction","Classic",3.5,500000,1851,"'Call me Ishmael.' Thus begins one of the most famous journeys in literature—the voyage of the whaling ship Pequod and its captain, Ahab, who pursues the white whale Moby Dick","9781853260087",624,"English","https://images.gr-assets.com/books/1327940656l/153747.jpg","",4
31,"The Odyssey","Homer","Classics","Epic Poetry",3.78,900000,-800,"The Odyssey is literature's grandest evocation of every man's journey through life","9780140268867",541,"English","https://images.gr-assets.com/books/1390173285l/1381.jpg","",4
32,"Crime and Punishment","Fyodor Dostoevsky","Fiction","Classic",4.23,700000,1866,"Raskolnikov, a destitute and desperate former student, wanders through the slums of St. Petersburg and commits a random murder without remorse or regret","9780679734505",671,"English","https://images.gr-assets.com/books/1382846449l/7144.jpg","",4
33,"The Scarlet Letter","Nathaniel Hawthorne","Fiction","Classic",3.42,700000,1850,"Set in 17th-century Puritan Boston, Massachusetts, during the years 1642 to 1649, it tells the story of Hester Prynne, who conceives a daughter through an affair and then struggles to create a new life of repentance and dignity","9780142437261",279,"English","https://images.gr-assets.com/books/1404810944l/12296.jpg","",3
34,"The Girl with the Dragon Tattoo","Stieg Larsson","Mystery","Thriller",4.14,2700000,2005,"Harriet Vanger, a scion of one of Sweden's wealthiest families disappeared over forty years ago","9780307473479",672,"English","https://images.gr-assets.com/books/1327868566l/2429135.jpg","Millennium",4
35,"Anna Karenina","Leo Tolstoy","Fiction","Classic",4.06,700000,1878,"Acclaimed by many as the world's greatest novel, Anna Karenina provides a vast panorama of contemporary life in Russia and of humanity in general","9780143035008",964,"English","https://images.gr-assets.com/books/1601352433l/15823480.jpg","",4
36,"A Tale of Two Cities","Charles Dickens","Historical Fiction","Classic",3.86,870000,1859,"After eighteen years as a political prisoner in the Bastille, the ageing Dr Manette is finally released and reunited with his daughter in England","9780141439600",489,"English","https://images.gr-assets.com/books/1344922523l/1953.jpg","",3
37,"The Count of Monte Cristo","Alexandre Dumas","Historical Fiction","Adventure",4.28,800000,1844,"Thrown in prison for a crime he has not committed, Edmond Dantès is confined to the grim fortress of If","9780140449266",1276,"English","https://images.gr-assets.com/books/1309203605l/7126.jpg","",3
38,"Don Quixote","Miguel de Cervantes","Fiction","Classic",3.88,220000,1605,"Don Quixote has become so entranced by reading chivalric romances that he determines to become a knight-errant himself","9780060934347",982,"English","https://images.gr-assets.com/books/1546112331l/3836.jpg","",4
39,"Les Misérables","Victor Hugo","Historical Fiction","Classic",4.18,700000,1862,"Introducing one of the most famous characters in literature, Jean Valjean—the noble peasant imprisoned for stealing a loaf of bread","9780451525260",1463,"English","https://images.gr-assets.com/books/1411852091l/24280.jpg","",4
40,"Frankenstein","Mary Shelley","Fiction","Gothic",3.83,1300000,1818,"Mary Shelley's chilling Gothic tale was conceived when she was only eighteen, living with her lover Percy Shelley near Lord Byron's villa on Lake Geneva","9780486282114",166,"English","https://images.gr-assets.com/books/1381512375l/18490.jpg","",3 
